Date,Platform,Campaign Name,Campaign Type,Impressions,Clicks,Orders,Ad Spend (MYR),Revenue (MYR),ROAS,CPC (MYR)
2026-03-01,Shopee Ads,Crop Top - Search Boost,Search Ads,12500,380,22,95.00,660.00,6.95,0.25
2026-03-01,Shopee Ads,Flash Sale Banner,Display Ads,45000,210,8,40.00,240.00,6.00,0.19
2026-03-02,Shopee Ads,Crop Top - Search Boost,Search Ads,13200,410,25,102.50,750.00,7.32,0.25
2026-03-03,Lazada Ads,USB Cable Sponsored,Sponsored Products,8900,145,10,36.25,198.00,5.46,0.25
2026-03-05,Shopee Ads,Crop Top - Search Boost,Search Ads,11800,355,19,88.75,570.00,6.42,0.25
2026-03-07,Shopee Ads,11.11 Pre-launch Banner,Display Ads,62000,890,35,175.00,1050.00,6.00,0.20
2026-03-10,Lazada Ads,USB Cable Sponsored,Sponsored Products,9200,160,12,40.00,238.00,5.95,0.25
2026-03-10,Shopee Ads,Crop Top - Search Boost,Search Ads,14100,425,28,106.25,840.00,7.91,0.25
2026-03-15,Shopee Ads,Mid-Month Flash,Display Ads,38000,480,18,95.00,540.00,5.68,0.20
2026-03-20,Lazada Ads,Power Bank Sponsored,Sponsored Products,5600,98,7,24.50,196.00,8.00,0.25
2026-03-25,Shopee Ads,Crop Top - Search Boost,Search Ads,12900,390,23,97.50,690.00,7.08,0.25
2026-03-28,Shopee Ads,Month-End Push,Display Ads,41000,520,20,104.00,600.00,5.77,0.20
