Date,Category,Description,Vendor,Amount (MYR),Payment Method,Receipt No.
2026-03-01,Subscription,Shopify Monthly Plan,Shopify,129.00,Credit Card,RCP-0301
2026-03-01,Subscription,Canva Pro (design),Canva,54.90,Credit Card,RCP-0302
2026-03-01,Utilities,Office Internet - March,TM Unifi,149.00,Online Banking,RCP-0303
2026-03-05,Subscription,Google Workspace,Google,45.00,Credit Card,RCP-0304
2026-03-07,Rental,Office Rental - March,Sunrise Business Centre,1800.00,Online Banking,RCP-0305
2026-03-10,Logistics,Grab Express (urgent delivery),Grab,38.50,GrabPay,RCP-0306
2026-03-12,Marketing,Influencer collaboration fee,@beautybylisa,300.00,Online Banking,RCP-0307
2026-03-15,Subscription,Accounting software - Xero,Xero,99.00,Credit Card,RCP-0308
2026-03-18,Overhead,Printer ink cartridges,Harvey Norman,85.00,Credit Card,RCP-0309
2026-03-20,Logistics,Customs clearance handling,DHL Express MY,220.00,Online Banking,RCP-0310
2026-03-22,Miscellaneous,Team lunch (monthly),Various,180.00,Cash,RCP-0311
2026-03-28,Subscription,Twilio WhatsApp API,Twilio,62.00,Credit Card,RCP-0312
2026-03-30,Overhead,Stationery & office supplies,Mr DIY,45.00,Cash,RCP-0313
